Book_Id,ISBN,ISBN13,My_Rating,Date_Read,Date_Added,Bookshelves,Exclusive_Shelf,My_Review,Spoiler,Private_Notes,Read_Count,Original_Purchase_Date
23627879,,,4,15/01/2015,26/12/2014,ebook,read,"A wonderful sequel to the movie (which is a must see before reading the book!!)<br/><br/>The characters are true to the original series, and I see it as a wonderful way to extend the series for the addicts.",,,1,
19520843,,,0,11/12/2014,21/11/2014,ebook,read,,,,1,
22847232,,9780987860057,4,,19/08/2014,ebook,read,,,,1,
23304054,,,5,7/02/2015,21/11/2014,ebook,read,,,,1,
21045519,,,0,11/10/2015,21/11/2014,"paperback, ebook",read,,,,1,
22596552,,,0,26/12/2014,19/08/2014,ebook,read,,,,1,
12365189,,,0,27/07/2015,19/08/2014,ebook,read,,,,1,
9317501,,,1,,19/08/2014,ebook,read,,,,1,
9317500,,,1,,19/08/2014,ebook,read,,,,1,
9769010,,,1,,19/08/2014,ebook,read,,,,1,
11398113,,,0,,19/08/2014,ebook,read,,,,1,
11037796,,,3,,19/08/2014,ebook,read,,,,1,
13432890,,,3,,19/08/2014,ebook,read,,,,1,
12506191,,,4,,19/08/2014,ebook,read,,,,1,
9422540,,,4,,19/08/2014,ebook,read,,,,1,
19032357,,9780957195622,2,,19/08/2014,ebook,read,,,,1,
8159544,,,3,,19/08/2014,ebook,read,,,,1,
8136931,,,4,,19/08/2014,ebook,read,,,,1,
9317502,,,1,,19/08/2014,ebook,read,,,,1,
15749364,,9780957195646,2,,19/08/2014,ebook,read,,,,1,
22368672,,,4,,19/08/2014,ebook,read,,,,1,
17569028,,,0,,19/08/2014,ebook,read,,,,1,
18196260,,,0,,19/08/2014,ebook,read,,,,1,
16158978,,,0,,19/08/2014,ebook,read,,,,1,
17829214,,,0,,19/08/2014,ebook,read,,,,1,
13477977,,,0,,19/08/2014,ebook,read,,,,1,
19409366,,,4,,19/08/2014,ebook,read,,,,1,
13572628,,,4,,19/08/2014,ebook,read,,,,1,
19132828,,,0,6/09/2014,19/08/2014,ebook,read,,,,1,
19509199,,,0,1/11/2014,19/08/2014,ebook,read,,,,1,
19383302,,,0,1/11/2014,19/08/2014,ebook,read,,,,1,
17061801,,,0,1/08/2014,19/08/2014,ebook,read,,,,1,
18586586,,,0,,19/08/2014,ebook,read,,,,1,
11398114,,,0,28/10/2015,19/08/2014,ebook,read,,,,1,
19738287,,,0,23/10/2015,19/08/2014,ebook,read,,,,1,
20737927,,,0,12/12/2014,19/08/2014,ebook,read,,,,1,
11397923,,,0,13/10/2015,19/08/2014,ebook,read,,,,1,
18806548,,,0,1/11/2015,19/08/2014,ebook,read,,,,1,
18189614,,,0,13/04/2015,19/08/2014,ebook,read,,,,1,
19384534,,,0,13/12/2014,19/08/2014,ebook,read,,,,1,
22011012,,,0,14/12/2014,19/08/2014,ebook,read,,,,1,
19040974,,,0,,19/08/2014,ebook,read,,,,1,
18172465,0062104926,9780062104922,3,22/11/2015,22/11/2015,paperback,read,,,,1,
24374784,,,4,21/04/2015,2/03/2015,paperback,read,,,,1,
1809343,0140271511,9780140271515,4,30/11/2015,26/11/2015,paperback,read,,,,1,
1961316,0140134050,9780140134056,4,27/11/2015,26/11/2015,paperback,read,,,,1,
13488299,,9780140178548,4,26/11/2015,26/11/2015,paperback,read,,,,1,
23398746,0452298350,9780452298354,5,25/11/2015,25/11/2015,paperback,read,,,,1,
18004320,0062104950,9780062104953,4,24/11/2015,22/11/2015,paperback,read,,,,1,
136251,0545010225,9780545010221,3,21/06/2015,19/08/2014,paperback,read,,,,1,
840935,0140252924,9780140252927,3,22/11/2014,21/11/2014,paperback,read,,,,1,
1,0439785960,9780439785969,3,17/06/2015,19/08/2014,paperback,read,,,,1,
5996209,0553819879,9780553819878,4,,19/08/2014,paperback,read,,,,1,
15881,0439064864,9780439064866,3,26/05/2015,19/08/2014,paperback,read,,,,1,
6,,,3,2/06/2015,19/08/2014,paperback,read,,,,1,
2,0439358078,9780439358071,3,6/06/2015,19/08/2014,paperback,read,,,,1,
2977487,0758216432,9780758216434,4,,19/08/2014,paperback,read,,,,1,
8709527,1595143173,9781595143174,3,1/07/2015,19/08/2014,paperback,read,,,,1,
5996153,1595141987,9781595141989,3,7/06/2015,19/08/2014,paperback,read,,,,1,
8709523,1595143181,9781595143181,3,12/07/2015,19/08/2014,paperback,read,,,,1,
8709526,159514319X,9781595143198,3,18/07/2015,19/08/2014,paperback,read,,,,1,
6527740,1595143068,9781595143068,3,12/06/2015,19/08/2014,paperback,read,,,,1,
8709528,159514322X,9781595143228,4,27/07/2015,19/08/2014,paperback,read,,,,1,
235718,0758216416,9780758216410,4,,19/08/2014,paperback,read,,,,1,
2802316,1595141979,9781595141972,3,4/06/2015,19/08/2014,paperback,read,,,,1,
2233407,0441015891,9780441015894,4,,19/08/2014,paperback,read,,,,1,
61940,0552139122,9780552139120,4,,19/08/2014,paperback,read,,,,1,
5161066,0441017150,9780441017157,4,,19/08/2014,paperback,read,,,,1,
24869,0552139149,9780552139144,4,,19/08/2014,paperback,read,,,,1,
