Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Read Count
12365189,"Adrian's Lost Chapter (Bloodlines, #0.5)",Richelle Mead,"Mead, Richelle",,,,0,4.03,,ebook,8,2011,2011,27/07/2015,19/08/2014,ebook,ebook (#76),read,,1
6347018,The Blue Fairy Book,Andrew Lang,"Lang, Andrew",,,,0,4.07,Public Domain Books,Kindle Edition,331,2005,1887,,19/08/2014,"to-read, ebook","to-read (#64), ebook (#72)",to-read,,0
18902121,Welsh Fairy Tales,William Elliot Griffis,"Griffis, William Elliot",,,,0,3.67,,Kindle Edition,146,2012,1921,,19/08/2014,"to-read, ebook","to-read (#62), ebook (#70)",to-read,,0
8477626,"Amber Magic (Haven, #1)",B.V. Larson,"Larson, B.V.",,,,0,3.27,,Kindle Edition,153,2010,2010,,19/08/2014,"to-read, ebook","to-read (#60), ebook (#67)",to-read,,0
8228407,English Fairy Tales,Joseph Jacobs,"Jacobs, Joseph",,,,0,3.71,,Kindle Edition,296,,1890,,19/08/2014,"to-read, ebook","to-read (#65), ebook (#73)",to-read,,0
9317501,"Invisible (Ivy Malone Mysteries, #1)",Lorena McCourtney,"McCourtney, Lorena",,,,1,3.62,Revell,Kindle Edition,320,2004,2004,,19/08/2014,ebook,ebook (#68),read,,1
8117584,Short Stories Old and New,C. Alphonso Smith,"Smith, C. Alphonso",,,,0,3.46,,Kindle Edition,,,2003,,19/08/2014,"to-read, ebook","to-read (#63), ebook (#71)",to-read,,0
9317500,"On the Run (Ivy Malone Mysteries, #3)",Lorena McCourtney,"McCourtney, Lorena",,,,1,4.18,,Kindle Edition,320,,2006,,19/08/2014,ebook,ebook (#64),read,,1
9769010,"In Plain Sight (Ivy Malone Mysteries, #2)",Lorena McCourtney,"McCourtney, Lorena",,,,1,4.07,,Kindle Edition,,,2005,,19/08/2014,ebook,ebook (#65),read,,1
15827404,The Green Fairy Book,Andrew Lang,"Lang, Andrew",,,,0,4.18,Amazon Digital Services,Kindle Edition,156,2012,1892,,19/08/2014,"to-read, ebook","to-read (#61), ebook (#69)",to-read,,0
11398113,"Die Trying (Jack Reacher, #2)",Lee Child,"Child, Lee",,,,0,4.02,Transworld Digital,Kindle Edition,422,2008,1998,,19/08/2014,ebook,ebook (#57),read,,1
11037796,"Be Careful What You Wish For (Amber Fox, #2)",Sibel Hodge,"Hodge, Sibel",,,,3,3.93,,Kindle Edition,227,2011,2011,,19/08/2014,ebook,ebook (#58),read,,1
13432890,"Voodoo Deadly (Amber Fox, #3)",Sibel Hodge,"Hodge, Sibel",,,,3,4.03,Sibel Hodge,Kindle Edition,220,2012,2012,,19/08/2014,ebook,ebook (#59),read,,1
12506191,"Heat Rises (Nikki Heat, #3)",Richard Castle,"Castle, Richard",,,,4,3.92,,Kindle Edition,300,,2011,,19/08/2014,ebook,ebook (#53),read,,1
9422540,"Naked Heat (Nikki Heat, #2)",Richard Castle,"Castle, Richard",,,,4,3.76,Hyperion,Kindle Edition,306,2010,2010,,19/08/2014,ebook,ebook (#54),read,,1
19032357,SCUBA STORIES: Real life diving dramas,Dive Magazine,"Magazine, Dive","Simon Simmons, Steve Jakeway",,9780957195622,2,3.75,Syon Publishing,Kindle Edition,88,2012,2012,,19/08/2014,ebook,ebook (#60),read,,1
8159544,"The Fashion Police (Amber Fox, #1)",Sibel Hodge,"Hodge, Sibel",,,,3,3.69,Sibel Hodge,Kindle Edition,254,2010,2009,,19/08/2014,ebook,ebook (#62),read,,1
8136931,"Heat Wave (Nikki Heat, #1)",Richard Castle,"Castle, Richard",,,,4,3.55,Hyperion,Kindle Edition,198,2009,2008,,19/08/2014,ebook,ebook (#55),read,,1
9317502,"Stranded (Ivy Malone Mysteries, #4)",Lorena McCourtney,"McCourtney, Lorena",,,,1,4.21,,Kindle Edition,,,2006,,19/08/2014,ebook,ebook (#63),read,,1
15749364,SCUBA STORIES 2: More real life diving dramas,Dive Magazine,"Magazine, Dive",Marion Kutter,,9780957195646,2,3.67,Syon Publishing,ebook,181,2012,2012,,19/08/2014,ebook,ebook (#61),read,,1
22368672,"Killing Floor (Jack Reacher, #1)",Lee Child,"Child, Lee",,,,4,4.05,Transworld Digital,Kindle Edition,523,2006,1997,,19/08/2014,ebook,ebook (#56),read,,1
17569028,"Immune (Rylee Adamson, #2)",Shannon Mayer,"Mayer, Shannon",,,,0,4.1,HiJinks Ink LTD,Kindle Edition,183,2013,2013,,19/08/2014,ebook,ebook (#44),read,,1
18196260,"Shadowed Threads (Rylee Adamson, #4)",Shannon Mayer,"Mayer, Shannon",,,,0,4.2,HiJinks Ink Publishing,Kindle Edition,270,2013,2013,,19/08/2014,ebook,ebook (#46),read,,1
11419864,Declaring Spinsterhood,Jamie Lynn Braziel,"Braziel, Jamie Lynn",,,,0,3.32,,Kindle Edition,238,,2008,,19/08/2014,"to-read, ebook","to-read (#53), ebook (#47)",to-read,,0
18159095,"Stone Guardian (Entwined Realms, #1)",Danielle Monsch,"Monsch, Danielle",,,,0,3.76,Romantic Geek Publishing,Kindle Edition,266,2013,2013,,19/08/2014,"to-read, ebook","to-read (#52), ebook (#42)",to-read,,0
